$sig_U_00_up
    Row.names         V1       V2       V3 1_hab00_mean 2_uncut_mean     theta      prob    log2FC
597   ML069121a  ML069121a         GMPS  9.37e-06   12.1866667    16.020000 -0.4092430 0.9615432 -0.39457058
734   ML087213a  ML087213a         RER1  3.29e-76   56.1933333    73.860000 -0.7968741 0.9867793 -0.39439428
649   ML074238a  ML074238a        FANK1  7.72e-81   51.7666667    68.033333 -0.8315400 0.9893556 -0.39421835
1212  ML218916a  ML218916a       STARD3  1.66e-33   14.0866667    18.510000 -0.4469405 0.9650459 -0.39397463
1418  ML368929a  ML368929a        HOGA1  3.58e-98   10.1566667    13.343333 -0.4219988 0.9610385 -0.39369212
362   ML037110a  ML037110a       PGGT1B 4.94e-113   22.2933333    29.276667 -0.5448260 0.9726238 -0.39313896
911   ML128225a  ML128225a        APEX1  3.76e-96   14.1866667    18.630000 -0.4099239 0.9615934 -0.39309202
560   ML064914a  ML064914a       ERICH3  2.59e-53   15.7133333    20.633333 -0.4915336 0.9659260 -0.39298765
348   ML035017a  ML035017a        SHMT2 4.11e-140   37.3300000    49.006667 -0.7100336 0.9827426 -0.39264251
18    ML002216a  ML002216a       DNAH17  0.00e+00   53.2866667    69.950000 -0.6935736 0.9784498 -0.39254947
1064  ML165610a  ML165610a        UVSSA  6.89e-29   21.0166667    27.586667 -0.4862021 0.9656368 -0.39243727
60     ML00493a   ML00493a      FAM228B  5.99e-10   10.3866667    13.633333 -0.4217964 0.9610546 -0.39240561
710    ML08414a   ML08414a      ARHGEF7  6.15e-36   43.0366667    56.453333 -0.7633636 0.9863128 -0.39149243
507   ML055914a  ML055914a      ZDHHC17  2.76e-42   14.0333333    18.406667 -0.5003195 0.9664682 -0.39137065
248    ML02041a   ML02041a        TLR10  2.41e-04   21.5466667    28.256667 -0.4703922 0.9657952 -0.39112659
227   ML018027a  ML018027a       PIEZO2  7.51e-22   35.8200000    46.963333 -0.7213041 0.9858118 -0.39076947
138    ML00971a   ML00971a         BBS5 4.20e-166   42.7566667    56.050000 -0.6758195 0.9791657 -0.39056499
2     ML000119a  ML000119a         MOGS 6.06e-171    9.8666667    12.933333 -0.4044875 0.9609252 -0.39045948
1034 ML1541105a ML1541105a        PRDX1  5.09e-96  164.7666667   215.963333 -0.8533769 0.9929744 -0.39036198
1264   ML23957a   ML23957a      PLA2G15  8.29e-73   30.8866667    40.466667 -0.5572021 0.9724893 -0.38974983
622    ML07138a   ML07138a        PCGF3  7.32e-60    8.9700000    11.750000 -0.3636748 0.9529568 -0.38948087
1359  ML306126a  ML306126a        TMED2  6.13e-83   51.9500000    68.050000 -0.7055223 0.9810185 -0.38947141
149    ML01069a   ML01069a     KIAA2013  1.96e-29   47.6733333    62.443333 -0.7390142 0.9858745 -0.38936505
232   ML019116a  ML019116a         TBCE  1.10e-23    7.4033333     9.696667 -0.3901522 0.9586574 -0.38931390
692    ML08108a   ML08108a         LRP1  9.70e-09   14.5733333    19.086667 -0.3880339 0.9584983 -0.38923427
1437   ML41868a   ML41868a        ENKD1  9.55e-26   11.6633333    15.273333 -0.4149491 0.9616325 -0.38903479
1285   ML25776a   ML25776a         KLF3  1.03e-50   49.5700000    64.890000 -0.5866100 0.9761285 -0.38852891
1044   ML15415a   ML15415a       NSMCE1  3.87e-39   10.6200000    13.900000 -0.4301280 0.9609750 -0.38830112
35    ML003242a  ML003242a        PPP6C 3.09e-178   66.9100000    87.510000 -0.9130177 0.9875512 -0.38722604
1367   ML31164a   ML31164a        FKBP2  1.84e-46  154.9200000   202.576667 -1.2704043 1.0000000 -0.38694460
188   ML014421a  ML014421a         CTSF  1.55e-93  677.5633333   885.816667 -0.9166145 0.9868171 -0.38665234
1198  ML216324a  ML216324a           F5  5.64e-05   96.0400000   125.553333 -0.8057551 0.9863822 -0.38659302
1008   ML14854a   ML14854a        DNAH2  0.00e+00   15.8833333    20.756667 -0.4499561 0.9656896 -0.38606107
813    ML10106a   ML10106a           TG  4.97e-12   47.5666667    62.140000 -0.7899769 0.9874647 -0.38557131
836    ML10439a   ML10439a          TTN  7.84e-05  410.7466667   536.520000 -0.7270667 0.9862147 -0.38538308
644   ML073911a  ML073911a        ALOX5  4.31e-08  141.6300000   184.996667 -0.5024427 0.9666173 -0.38537239
792   ML096811a  ML096811a          UBC  0.00e+00  675.9066667   882.376667 -1.6063905 0.9999954 -0.38457060
1230  ML223528a  ML223528a        WDR74  2.05e-48   23.7033333    30.923333 -0.5661069 0.9725963 -0.38360589
921    ML12932a   ML12932a       NCAPD2 1.01e-146   10.6000000    13.823333 -0.3762467 0.9574282 -0.38304128
713   ML084437a  ML084437a     ALDH18A1  2.02e-49    8.2133333    10.710000 -0.3925019 0.9588939 -0.38291872
9      ML00152a   ML00152a       GNPDA1 3.21e-144   31.9866667    41.706667 -0.5247576 0.9695759 -0.38280736
1454   ML44426a   ML44426a         RIT1  5.95e-36   26.4100000    34.433333 -0.6122090 0.9774975 -0.38272155
1348   ML29481a   ML29481a        WDR20  2.30e-16   36.5966667    47.690000 -0.5580567 0.9724422 -0.38197453
1324  ML274435a  ML274435a        HYOU1  0.00e+00   62.2766667    81.086667 -0.7013305 0.9796614 -0.38077298
1279  ML252810a  ML252810a         FDPS  6.25e-93   16.1366667    21.010000 -0.3906127 0.9586999 -0.38073357
243   ML020041a  ML020041a       CEP290  6.06e-25   11.5933333    15.090000 -0.4206991 0.9611603 -0.38029737
1295   ML26177a   ML26177a       FAM98A  1.43e-41   35.5033333    46.206667 -0.5694025 0.9731361 -0.38014654
1414  ML368812a  ML368812a      TMEM50B  4.92e-48   22.3233333    29.050000 -0.4835362 0.9655333 -0.37998570
760    ML09172a   ML09172a      MPV17L2  9.39e-14   10.7533333    13.993333 -0.3862215 0.9583938 -0.37995573
814    ML10111a   ML10111a        PDIA5 4.78e-138   39.1200000    50.903333 -0.6042696 0.9753864 -0.37985376
1113  ML185515a  ML185515a       NMRAL1  4.22e-31   26.2233333    34.116667 -0.4149248 0.9616338 -0.37962561
1007  ML148536a  ML148536a       PRXL2A  1.48e-26   95.9600000   124.843333 -0.9242136 0.9856774 -0.37961372
1247  ML234025a  ML234025a        ENDOU  5.53e-46   81.0500000   105.426667 -1.0198039 0.9905587 -0.37935574
1269   ML24006a   ML24006a        HMCN1  3.92e-04   28.4566667    37.010000 -0.5164200 0.9682627 -0.37914846
661   ML076913a  ML076913a         TMA7  9.42e-09  435.6300000   566.496667 -1.2064214 0.9999953 -0.37896416
830   ML104321a  ML104321a      SLC36A4  5.02e-29   17.4233333    22.640000 -0.4937684 0.9660603 -0.37785330
1382   ML32955a   ML32955a       CIAO2B  4.33e-40   39.0433333    50.730000 -0.5925082 0.9756758 -0.37776293
1032   ML15095a   ML15095a         KLK7  2.30e-16  136.0333333   176.733333 -0.8435978 0.9915387 -0.37761396
402   ML044117a  ML044117a     C17orf75  5.35e-23   30.7100000    39.896667 -0.5935273 0.9755623 -0.37755970
916   ML128616a  ML128616a          AK3  4.88e-86   36.6833333    47.650000 -0.5760359 0.9747401 -0.37735147
758    ML09142a   ML09142a         BBS7  0.00e+00   12.5033333    16.240000 -0.4370925 0.9622971 -0.37723887
431    ML04734a   ML04734a        PSMA4 7.68e-129  172.2066667   223.593333 -0.9277810 0.9856052 -0.37673618
1012  ML148912a  ML148912a         ENO4  4.80e-11   24.3733333    31.643333 -0.5636801 0.9723941 -0.37659801
86    ML006316a  ML006316a        SFXN1 2.48e-134   18.9666667    24.623333 -0.4821719 0.9654978 -0.37655993
365   ML038034a  ML038034a      SLC35B4  1.32e-74    9.3333333    12.116667 -0.3811712 0.9580787 -0.37652854
1121  ML189326a  ML189326a         NEK1  1.81e-07   36.3700000    47.183333 -0.4122376 0.9616915 -0.37552842
778   ML093518a  ML093518a        SUMF2  4.67e-97   11.3900000    14.763333 -0.4142327 0.9616683 -0.37425075
344   ML034638a  ML034638a       EXOSC3  2.28e-40   19.9166667    25.810000 -0.4590308 0.9664230 -0.37395393
73     ML00525a   ML00525a         ORC4  4.26e-81    9.5533333    12.380000 -0.3911887 0.9587533 -0.37393521
959   ML139718a  ML139718a       CHMP2B  6.17e-58   64.7466667    83.846667 -0.9670131 0.9937737 -0.37294751
246    ML02017a   ML02017a         FAF1  8.51e-20   26.0333333    33.703333 -0.5862736 0.9761294 -0.37253124
1206   ML21724a   ML21724a      SLC35A3  9.85e-73   17.9000000    23.160000 -0.4727814 0.9656541 -0.37167567
1030  ML150423a  ML150423a        RAB23  6.64e-79   21.3500000    27.623333 -0.4749377 0.9655587 -0.37165135
716    ML08482a   ML08482a      SLC10A7  1.08e-07   13.9633333    18.060000 -0.3863342 0.9584002 -0.37115451
809    ML09981a   ML09981a         ALG1  2.55e-76   10.1233333    13.090000 -0.3683632 0.9550348 -0.37078069
839   ML104637a  ML104637a        SPEF1  2.65e-17   10.4033333    13.440000 -0.3593996 0.9509579 -0.36948728
788   ML095514a  ML095514a       ADARB2  5.49e-21   29.0300000    37.500000 -0.5048980 0.9668184 -0.36934602
1403   ML35704a   ML35704a      SDR39U1  4.09e-42   19.2733333    24.890000 -0.4996893 0.9664268 -0.36896012
746   ML090226a  ML090226a       ZNF706  1.90e-19  137.5033333   177.526667 -0.8268287 0.9885653 -0.36856916
357   ML037011a  ML037011a       SNAP25  9.35e-11   45.5733333    58.836667 -0.7147189 0.9843913 -0.36852562
1333  ML279812a  ML279812a        COPS8  6.55e-12   22.8066667    29.443333 -0.5102370 0.9673847 -0.36848541
719   ML085025a  ML085025a          IPP  1.87e-30   12.8633333    16.600000 -0.4012390 0.9603309 -0.36791870
1093   ML17724a   ML17724a        GLUD2  1.18e-31   56.1133333    72.413333 -0.6440835 0.9818376 -0.36791175
555   ML064011a  ML064011a      ATXN7L3  1.19e-48   15.2166667    19.636667 -0.4115006 0.9616684 -0.36789769
133   ML009135a  ML009135a         MMUT  0.00e+00   39.5700000    51.063333 -0.6406098 0.9820773 -0.36788065
805   ML099210a  ML099210a        OTUB1  7.42e-57   19.3733333    24.996667 -0.5179515 0.9685014 -0.36766352
242   ML020020a  ML020020a      SELENOF  1.04e-13   67.4266667    86.946667 -0.7657803 0.9866979 -0.36681144
397   ML043310a  ML043310a    HNRNPA1L2  1.09e-43  323.8666667   417.613333 -1.1568201 0.9941929 -0.36676778
896   ML120753a  ML120753a       CRYZL1  4.03e-13    9.8300000    12.673333 -0.4004528 0.9601803 -0.36653271
659   ML076312a  ML076312a       NT5C3A  8.14e-34    8.4800000    10.930000 -0.3680330 0.9548999 -0.36615723
979    ML14382a   ML14382a        SRP54  0.00e+00   42.0933333    54.240000 -0.6108126 0.9770120 -0.36576542
1351   ML29629a   ML29629a        FANK1  4.63e-10    8.2600000    10.643333 -0.3603454 0.9513925 -0.36573637
307   ML030922a  ML030922a        MEMO1  2.71e-98   26.5833333    34.253333 -0.5380308 0.9717309 -0.36572237
1228  ML223517a  ML223517a        DCST1  6.01e-09   12.3466667    15.903333 -0.3857612 0.9583687 -0.36520759
217   ML017418a  ML017418a         DVL3  6.62e-30   28.3133333    36.466667 -0.5881921 0.9760660 -0.36509672
236   ML019211a  ML019211a        GSTM5  4.15e-43  321.8900000   414.556667 -0.7339642 0.9861386 -0.36500156
688    ML08055a   ML08055a         MTX2  1.06e-26   26.5566667    34.196667 -0.5403098 0.9720843 -0.36478163
936    ML13252a   ML13252a         ARL6  1.52e-74   20.9900000    27.026667 -0.4264991 0.9608083 -0.36468142
1097  ML181725a  ML181725a        PIBF1  5.94e-66    9.7833333    12.593333 -0.4045916 0.9609435 -0.36426220
655    ML07512a   ML07512a       CFAP92  5.35e-56   18.7266667    24.100000 -0.5002754 0.9664653 -0.36393902
26    ML003016a  ML003016a         RBX1  2.06e-63  158.0100000   203.270000 -1.2562307 1.0000000 -0.36338144
615   ML071139a  ML071139a        ACIN1  1.34e-18   45.0066667    57.880000 -0.6854980 0.9786417 -0.36292620
403   ML044118a  ML044118a       HNRNPK  1.05e-06   20.4166667    26.253333 -0.4740729 0.9655927 -0.36275327
1009   ML14875a   ML14875a        MMP24  1.79e-36   30.1800000    38.800000 -0.4916940 0.9659356 -0.36246385
901    ML12364a   ML12364a        RGPD6  3.09e-04    9.7633333    12.550000 -0.3665732 0.9542768 -0.36224167
323   ML032516a  ML032516a        SURF4 1.57e-100   57.3000000    73.623333 -0.8536336 0.9930062 -0.36162793
464   ML051214a  ML051214a       TRMT44  5.01e-59   15.4633333    19.863333 -0.3957978 0.9593454 -0.36125640
527    ML05808a   ML05808a         SMC4  1.87e-72   10.8233333    13.900000 -0.3575672 0.9501423 -0.36094000
1417  ML368918a  ML368918a       AGPAT3  5.22e-55   12.2000000    15.666667 -0.3632531 0.9527582 -0.36081711
844    ML10613a   ML10613a       PRSS12  5.56e-18  306.9200000   394.126667 -0.5928364 0.9756396 -0.36079671
268   ML024511a  ML024511a       NDUFS2 3.89e-151   58.4800000    75.083333 -0.8121618 0.9867263 -0.36054939
175    ML01271a   ML01271a        WDR38  2.12e-13   17.5200000    22.490000 -0.4410269 0.9634183 -0.36028089
210    ML01661a   ML01661a       CCDC81  1.54e-75   21.6500000    27.786667 -0.4471829 0.9651033 -0.36002575
1170   ML20876a   ML20876a        MRPS5  2.01e-17   22.3000000    28.616667 -0.4895906 0.9658126 -0.35981192
632    ML07321a   ML07321a         A1CF  1.82e-68   25.6800000    32.940000 -0.5678810 0.9728523 -0.35919535
1404   ML35706a   ML35706a        IDH3G 2.64e-116   76.8800000    98.583333 -0.6923659 0.9784043 -0.35873543
1282  ML257610a  ML257610a        KCNA1  5.55e-50   14.5100000    18.603333 -0.4107906 0.9616462 -0.35851363
430   ML047317a  ML047317a          C1D  5.57e-25   35.6633333    45.666667 -0.5819569 0.9758914 -0.35669993
223   ML017946a  ML017946a         COPE  1.38e-87   61.6500000    78.930000 -0.6897460 0.9784281 -0.35647285
1112   ML18442a   ML18442a        ACRV1  1.47e-12    8.8100000    11.276667 -0.3831985 0.9582249 -0.35612675
1222   ML22252a   ML22252a      TRAPPC8  6.91e-45   18.6333333    23.843333 -0.3853054 0.9583443 -0.35570016
799   ML097525a  ML097525a         TNKS  0.00e+00   18.7200000    23.950000 -0.4848003 0.9655784 -0.35544522
865   ML115411a  ML115411a         KDSR  1.96e-41   22.5766667    28.880000 -0.5253220 0.9696646 -0.35523825
578   ML066520a  ML066520a        LETM1  2.15e-74   43.3766667    55.480000 -0.6275527 0.9819680 -0.35504860
1385   ML33723a   ML33723a         CTSV  5.15e-36  193.1000000   246.920000 -0.4398056 0.9630608 -0.35469553
453    ML05041a   ML05041a       STOML1  1.31e-21   11.5833333    14.806667 -0.3888103 0.9585543 -0.35419642
428   ML047313a  ML047313a         IQCH  0.00e+00   23.6766667    30.260000 -0.4986629 0.9663601 -0.35394600
656   ML075220a  ML075220a         CTSV  3.83e-33  107.9200000   137.860000 -0.6381429 0.9822037 -0.35324167
480   ML052314a  ML052314a           GK 1.25e-179   27.5900000    35.243333 -0.4364692 0.9621361 -0.35320492
259    ML02244a   ML02244a         BBS2  0.00e+00   26.7900000    34.216667 -0.4959656 0.9661935 -0.35300464
1270   ML24007a   ML24007a         VWA7  1.76e-05   19.2633333    24.596667 -0.4484878 0.9653976 -0.35260545
902    ML12421a   ML12421a       GLIPR2  2.30e-16   18.7433333    23.923333 -0.3599822 0.9512236 -0.35204087
701   ML083026a  ML083026a       MRPL49  6.65e-09   30.6066667    39.060000 -0.4762305 0.9655139 -0.35184602
599    ML06933a   ML06933a         OPA1 2.30e-158   30.2233333    38.570000 -0.5173060 0.9684004 -0.35181636
350    ML03521a   ML03521a        ANPEP 5.84e-131   81.5866667   104.033333 -0.6444429 0.9818086 -0.35064055
1290   ML25826a   ML25826a         TGM1 1.65e-139   21.6666667    27.626667 -0.4845186 0.9655677 -0.35058428
1461  ML455310a  ML455310a        CARS1  5.33e-50   31.1400000    39.696667 -0.5104642 0.9674140 -0.35024892
567   ML065312a  ML065312a         IDH1  0.00e+00  166.2466667   211.923333 -0.6382308 0.9821996 -0.35021703
287    ML02825a   ML02825a        GMPR2  0.00e+00   42.2333333    53.836667 -0.4565710 0.9663880 -0.35020697
855    ML11134a   ML11134a         NT5E  2.14e-09   16.3266667    20.800000 -0.4485611 0.9654121 -0.34935326
82     ML00554a   ML00554a         PSAP  7.66e-11  215.8066667   274.703333 -1.0663887 0.9957941 -0.34813498
653   ML074813a  ML074813a       TRDMT1  3.82e-66   12.9733333    16.513333 -0.3863278 0.9583998 -0.34808216
195   ML015628a  ML015628a      DNTTIP2  1.13e-21   27.2266667    34.653333 -0.4053570 0.9610663 -0.34797377
695    ML08219a   ML08219a       ANP32A  2.47e-43   73.6233333    93.696667 -0.8626473 0.9936727 -0.34783465
1376   ML32098a   ML32098a        KIF23 3.79e-149   16.8866667    21.486667 -0.4060120 0.9611653 -0.34755711
159    ML01192a   ML01192a       COMMD2  2.37e-19   14.1500000    18.003333 -0.4095004 0.9615621 -0.34746199
639   ML073278a  ML073278a      PCYOX1L  1.85e-62   18.1833333    23.133333 -0.4323629 0.9612648 -0.34735647
1458   ML45525a   ML45525a        SHMT2  0.00e+00   20.5733333    26.173333 -0.4611093 0.9663776 -0.34732211
81     ML00535a   ML00535a      ZMYND10 1.00e-105   10.3000000    13.103333 -0.3709838 0.9560286 -0.34728953
893   ML120724a  ML120724a        SPCS3  3.65e-52   73.6100000    93.633333 -0.7725986 0.9875734 -0.34712045
700   ML083025a  ML083025a      SLC2A13 1.68e-116   13.5266667    17.203333 -0.3870439 0.9584408 -0.34688177
1319  ML274427a  ML274427a      FAM135A  7.24e-18   19.5966667    24.910000 -0.3865067 0.9584100 -0.34611674
1360   ML30614a   ML30614a        DNAL4  1.45e-42  176.3566667   224.140000 -0.9392323 0.9878113 -0.34590402
1072   ML16709a   ML16709a        STK26  2.01e-13   12.8033333    16.270000 -0.3888749 0.9585590 -0.34569479
1276  ML250612a  ML250612a       RNF121 1.47e-124   16.5733333    21.056667 -0.4462923 0.9648928 -0.34541328
1067  ML166415a  ML166415a          TXN  2.19e-25  300.3366667   381.356667 -1.1227976 0.9940032 -0.34456030
444   ML048615a  ML048615a        TEX49  1.67e-05   48.7766667    61.933333 -0.6207819 0.9805549 -0.34452493
502   ML055026a  ML055026a          NXN  3.14e-24 1865.4766667  2368.366667 -0.9715760 0.9941448 -0.34434814
1195   ML21602a   ML21602a         CTSV  5.93e-42   48.9166667    62.093333 -0.5029787 0.9666593 -0.34411228
339   ML034317a  ML034317a      SPATA17  1.89e-15   39.1533333    49.690000 -0.6411968 0.9820431 -0.34382040
1010   ML14881a   ML14881a        ITFG1  8.73e-36   58.5633333    74.323333 -0.8260847 0.9884491 -0.34381753
1423  ML375934a  ML375934a      TMEM222  7.89e-61   22.0633333    28.000000 -0.4228728 0.9609688 -0.34377606
1148  ML200252a  ML200252a        GDF11  7.73e-12   22.8933333    29.050000 -0.4359962 0.9620199 -0.34361063
978    ML14306a   ML14306a       ADARB1 3.16e-106   11.6666667    14.803333 -0.4053421 0.9610641 -0.34352965
1412   ML35991a   ML35991a     ALDH16A1  1.05e-44   28.8166667    36.553333 -0.4795044 0.9654713 -0.34309951
1431  ML402916a  ML402916a         SDK1  2.65e-10   66.6666667    84.556667 -0.7775986 0.9878824 -0.34295291
16    ML002118a  ML002118a       GPR180  3.64e-27   14.1733333    17.976667 -0.4001272 0.9601180 -0.34294644
214   ML017320a  ML017320a        COPZ1  4.03e-70   51.5766667    65.416667 -0.6438239 0.9818585 -0.34293971
118   ML008518a  ML008518a        IMPA2  3.38e-82   40.6533333    51.556667 -0.6306492 0.9822305 -0.34278534
233   ML019129a  ML019129a        HAUS1  2.77e-15   14.5300000    18.420000 -0.3626344 0.9524656 -0.34223836
748    ML09051a   ML09051a        QARS1  0.00e+00   34.5400000    43.783333 -0.6133630 0.9779182 -0.34211371
863   ML114623a  ML114623a         OTOG  3.64e-07   68.1033333    86.296667 -0.5013620 0.9665403 -0.34157942
33    ML003238a  ML003238a        DNAI1  0.00e+00   77.7000000    98.450000 -0.6807561 0.9789437 -0.34147661
360   ML037015a  ML037015a       SDF2L1  9.26e-68   97.5400000   123.560000 -0.7244337 0.9861102 -0.34114590
573   ML065719a  ML065719a        WDTC1  4.49e-71   16.6333333    21.063333 -0.3749551 0.9571642 -0.34065645
671    ML07781a   ML07781a        MEF2A  3.15e-54   73.1233333    92.583333 -0.9723438 0.9941997 -0.34042067
1221   ML22166a   ML22166a       SEPHS2 2.61e-132  146.6433333   185.660000 -1.0817987 0.9961808 -0.34035154
643    ML07373a   ML07373a       CELSR1  7.49e-06   19.5066667    24.696667 -0.3972543 0.9595868 -0.34034906
837   ML104612a  ML104612a         GUF1 1.14e-178   16.5866667    20.996667 -0.3952316 0.9592575 -0.34013633
472    ML05135a   ML05135a         MDH1 4.20e-145  151.9866667   192.393333 -1.2575330 1.0000000 -0.34011404
1379  ML327424a  ML327424a         SYT3  5.34e-05   30.7366667    38.903333 -0.4671721 0.9660173 -0.33993306
816   ML102215a  ML102215a         CTSV  7.73e-42  410.5700000   519.510000 -0.8261056 0.9884524 -0.33952330
518   ML057316a  ML057316a     C16orf89  4.49e-15   15.8100000    19.990000 -0.4058535 0.9611413 -0.33844110
1340  ML282541a  ML282541a         CTSV  1.05e-44  179.4366667   226.796667 -0.7367608 0.9860103 -0.33792471
371   ML038813a  ML038813a         COQ4  4.27e-65   15.9333333    20.136667 -0.4169517 0.9615049 -0.33777677
441   ML048120a  ML048120a        MUC5B  1.23e-15   57.7266667    72.953333 -0.6966445 0.9787181 -0.33773598
1275   ML24991a   ML24991a        PRKCE 7.19e-140   25.8266667    32.623333 -0.4501111 0.9657148 -0.33704275
203    ML01613a   ML01613a          MOK  2.22e-91   15.0600000    19.016667 -0.4223742 0.9610086 -0.33654262
23    ML002613a  ML002613a       MRPS14  2.52e-05   31.5200000    39.790000 -0.5721369 0.9737488 -0.33613836
1191   ML21528a   ML21528a         FAIM  1.45e-56   18.8400000    23.773333 -0.4350137 0.9617798 -0.33554524
662    ML07712a   ML07712a       POLR3D  1.71e-08   11.5300000    14.546667 -0.3859862 0.9583808 -0.33529609
401   ML044111a  ML044111a       NEDD4L  0.00e+00   33.4400000    42.173333 -0.5723943 0.9738139 -0.33475621
912   ML128417a  ML128417a       ANKMY2  2.17e-58   12.5766667    15.856667 -0.3718189 0.9562972 -0.33433993
1268   ML24003a   ML24003a        HMCN2  9.69e-08   35.9600000    45.326667 -0.5580919 0.9724402 -0.33396705
1305  ML270521a  ML270521a         COQ7  8.35e-80   36.6700000    46.216667 -0.5120786 0.9676249 -0.33381294
757   ML091212a  ML091212a      SLC35F6  6.65e-70   14.8366667    18.696667 -0.4035038 0.9607531 -0.33361408
1337  ML282511a  ML282511a     FGFR1OP2  2.84e-20   41.6633333    52.500000 -0.6468177 0.9815998 -0.33353915
505    ML05514a   ML05514a         CTSK  2.60e-32 2950.0900000  3717.040000 -0.8752770 0.9929268 -0.33339525
930    ML13146a   ML13146a       CFAP91  1.22e-45   37.8233333    47.633333 -0.5796252 0.9755378 -0.33269500
995    ML14552a   ML14552a      GAL3ST1  1.60e-41   10.2733333    12.936667 -0.3902429 0.9586657 -0.33256157
725   ML085739a  ML085739a        ACAP2  8.16e-60   13.5000000    16.996667 -0.4028940 0.9606449 -0.33229243
1049  ML154520a  ML154520a        ADCK1 1.31e-122   26.9300000    33.903333 -0.5027414 0.9666403 -0.33221289
1266  ML239913a  ML239913a     TMEM106A  2.34e-12   12.3000000    15.483333 -0.4103997 0.9616286 -0.33205778
749    ML09052a   ML09052a       DNAJB8  6.25e-12   23.8100000    29.970000 -0.4676542 0.9659832 -0.33195146
1301  ML270512a  ML270512a       CLUAP1 2.52e-128   48.2866667    60.760000 -0.6198728 0.9802643 -0.33149700
1273   ML24841a   ML24841a       ATAD3B 2.41e-117   26.3366667    33.123333 -0.5244073 0.9695208 -0.33077510
1462  ML455311a  ML455311a        CARS1 1.05e-180   43.8300000    55.120000 -0.5637808 0.9723993 -0.33065721
673   ML078812a  ML078812a      PLEKHM2  3.24e-08   24.1133333    30.323333 -0.3927495 0.9589230 -0.33059726
900    ML12341a   ML12341a        KIF1A  1.83e-65   15.4933333    19.483333 -0.3945447 0.9591584 -0.33059296
390    ML04143a   ML04143a        NAA50  5.85e-37   22.3133333    28.050000 -0.4228775 0.9609684 -0.33009472
602   ML070217a  ML070217a       MOSPD2  5.42e-62   38.2500000    48.023333 -0.6095445 0.9765960 -0.32827580
1166  ML206410a  ML206410a         PLK4  1.79e-69   12.9500000    16.256667 -0.3760327 0.9573843 -0.32807937
44     ML00355a   ML00355a         RBP1  2.27e-04  282.8066667   354.883333 -0.7039020 0.9804515 -0.32752869
841    ML10555a   ML10555a      CFAP251  0.00e+00   24.2366667    30.410000 -0.4609839 0.9663809 -0.32735452
147   ML010613a  ML010613a        REEP5  1.72e-59  167.0866667   209.610000 -0.9810447 0.9943082 -0.32711093
728   ML086423a  ML086423a      GAL3ST1  3.98e-41   16.0366667    20.116667 -0.4080519 0.9614296 -0.32701697
176    ML01277a   ML01277a        ARL5B  2.69e-93   41.3400000    51.856667 -0.5836410 0.9760542 -0.32699108
1311  ML271519a  ML271519a       B3GAT1  2.32e-23   34.9133333    43.766667 -0.5728531 0.9739302 -0.32605441
797    ML09734a   ML09734a         ISCU  3.89e-77   76.7566667    96.210000 -0.6394237 0.9821437 -0.32589479
193    ML01534a   ML01534a       CYB5D1  3.30e-88   73.4333333    92.016667 -0.6345769 0.9822998 -0.32546011
1425   ML39334a   ML39334a        NOVA2  8.05e-21   19.2866667    24.163333 -0.4359804 0.9620161 -0.32521567
450    ML04969a   ML04969a      PPP2R3C  0.00e+00   18.1433333    22.730000 -0.4196554 0.9612606 -0.32515815
962    ML13978a   ML13978a       ACTR10  1.57e-39   22.1100000    27.690000 -0.4694765 0.9658567 -0.32466603
894   ML120729a  ML120729a         APLF  1.71e-07   11.8766667    14.873333 -0.3751516 0.9572042 -0.32459803
98     ML00711a   ML00711a         TXN2  1.31e-23   49.1700000    61.570000 -0.5775398 0.9751033 -0.32444921
1463  ML455312a  ML455312a        CCNA2  2.46e-52   32.4933333    40.686667 -0.5644508 0.9724341 -0.32441234
83    ML005711a  ML005711a      PPP2R5A  0.00e+00   16.0233333    20.063333 -0.3840663 0.9582771 -0.32438701
1388   ML34226a   ML34226a        WDR76  3.10e-34   13.3966667    16.773333 -0.3793818 0.9579015 -0.32429534
1256  ML234560a  ML234560a         F8A3  2.95e-19   11.1100000    13.906667 -0.3591831 0.9508600 -0.32391784
811    ML10008a   ML10008a        FAHD1  2.03e-31   55.2866667    69.193333 -0.6384690 0.9821885 -0.32370145
1249   ML23403a   ML23403a         TMX1  2.31e-18   10.9900000    13.750000 -0.3631948 0.9527306 -0.32324023
1069  ML167023a  ML167023a        SMPD1  2.38e-04   28.7600000    35.980000 -0.4768944 0.9655004 -0.32313151
1277   ML25061a   ML25061a       SEPHS2 1.58e-104   71.7700000    89.780000 -0.6202667 0.9803900 -0.32301318
1134   ML19677a   ML19677a         TBCB  7.57e-65   44.8000000    56.036667 -0.5518976 0.9727924 -0.32287241
941    ML13379a   ML13379a        MMP28  1.65e-32   33.5766667    41.990000 -0.4464430 0.9649284 -0.32258677
109   ML007435a  ML007435a         TLL2  2.19e-77   32.5000000    40.640000 -0.4804585 0.9654745 -0.32246068
425    ML04648a   ML04648a        UCHL3  3.15e-81   49.5966667    62.013333 -0.6222702 0.9809663 -0.32233528
366   ML038035a  ML038035a         DPH5 1.59e-112   14.6066667    18.263333 -0.3909513 0.9587313 -0.32232312
473    ML05136a   ML05136a       GEMIN2  1.54e-07   18.5433333    23.183333 -0.4176363 0.9614495 -0.32218741
